Time,Throughput (Mbps)
2 2.12341
3 0.108337
4 1.58173
5 1.7659
6 0
7 0.650024
8 1.04004
9 0
10 1.30005
11 1.69006
12 4.53934
13 0.758362
14 1.48422
15 0.639191
16 0.162506
17 5.96939
18 0.877533
19 0.151672
20 2.14508
21 1.02921
22 2.57843
23 0
24 0.227509
25 0
26 0.541687
27 1.8959
28 0.509186
29 0.704193
30 1.27838
31 2.58926
32 1.62506
33 0
34 1.38672
35 0.942535
36 2.10175
37 2.11258
38 1.05087
39 0
40 0.0108337
41 0
42 1.34338
43 0.400848
44 1.34338
45 4.12766
46 0.444183
47 0.628357
48 0.17334
49 0.758362
50 0.704193
51 2.84927
52 1.38672
53 0.682526
54 0.747528
55 0.390015
56 0.877533
57 0.0975037
58 0.964203
59 1.77673
